Domain	Subset	Mode	N_Partitions	Sweep_Set	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Eval_Cells	Finite_Value_Cells	Primary_Eligible_Cells	Finite_Eligible_Cells	Finite_Eligible_Eval_Pct	Positive_Cells	Positive_Eval_Pct	Negative_Cells	Negative_Eval_Pct	Zero_Cells	Large_Positive_Cells	Large_Positive_Eval_Pct	Large_Positive_Eligible_Pct	Large_Negative_Cells	Large_Negative_Eval_Pct	Large_Negative_Eligible_Pct	Mean_Value	Median_Value
Formula	SM	Period2_2018_2020	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19697	19697	98.979899	2378	11.949749	7141	35.884422	10178	1778	8.934673	9.026755	4180	21.005025	21.221506	-0.131872	0.000000
Pathway	All	Combo6yr	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19695	19695	98.969849	4124	20.723618	14048	70.592965	1523	1337	6.718593	6.788525	11634	58.462312	59.070830	-0.516846	-1.000000
Pathway	All	Period1_2015_2017	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19694	19694	98.964824	5341	26.839196	13074	65.698492	1279	2424	12.180905	12.308317	10531	52.919598	53.473139	-0.411256	-0.986111
Pathway	All	Period2_2018_2020	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19690	19690	98.944724	3491	17.542714	14651	73.623116	1548	710	3.567839	3.605891	10063	50.567839	51.107161	-0.482236	-0.909722
Pathway	PM	Combo6yr	1	all100	1	entire signed-cutoff range	199	19900	19900	15800	15481	15481	77.793970	2416	12.140704	12023	60.417085	1042	1684	8.462312	10.877850	11493	57.753769	74.239390	-0.639209	-1.000000
Pathway	PM	Period1_2015_2017	1	all100	1	entire signed-cutoff range	199	19900	19900	15800	15481	15481	77.793970	3548	17.829146	11055	55.552764	878	2585	12.989950	16.697888	10538	52.954774	68.070538	-0.513740	-1.000000
Pathway	PM	Period2_2018_2020	1	all100	1	entire signed-cutoff range	199	19900	19900	12400	12064	12064	60.623116	1155	5.804020	10146	50.984925	763	581	2.919598	4.815981	9710	48.793970	80.487401	-0.758361	-1.000000
Pathway	SM	Combo6yr	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19695	19695	98.969849	5689	28.587940	12315	61.884422	1691	2659	13.361809	13.500889	9592	48.201005	48.702716	-0.346111	-0.250000
Pathway	SM	Period1_2015_2017	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19693	19693	98.959799	6497	32.648241	11782	59.206030	1414	3177	15.964824	16.132636	9197	46.216080	46.701874	-0.303026	-0.104167
Pathway	SM	Period2_2018_2020	1	all100	1	entire signed-cutoff range	199	19900	19900	19900	19690	19690	98.944724	5500	27.638191	12462	62.623116	1728	1381	6.939698	7.013713	8532	42.874372	43.331640	-0.368663	-0.072917
Brite	All	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	4214	21.389777	13727	69.676666	1760	1139	5.781432	5.781432	10743	54.530227	54.530227	-0.460981	-0.701389
Brite	All	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	3738	18.973656	14321	72.691742	1642	962	4.883001	4.883001	11122	56.453987	56.453987	-0.502945	-0.930556
Brite	All	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	4519	22.937922	13484	68.443226	1698	1014	5.146947	5.146947	8229	41.769453	41.769453	-0.366102	-0.069444
Brite	PM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15508	15508	78.716816	1719	8.725445	11073	56.205269	2716	1203	6.106289	7.757287	10434	52.961779	67.281403	-0.604670	-1.000000
Brite	PM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15507	15507	78.711741	1829	9.283793	11196	56.829603	2482	1159	5.882950	7.474044	10558	53.591188	68.085381	-0.609256	-1.000000
Brite	PM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	12276	12137	12137	61.606010	973	4.938836	9136	46.373281	2028	591	2.999848	4.869408	8608	43.693214	70.923622	-0.661843	-1.000000
Brite	SM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	6999	35.526115	10513	53.362773	2189	1751	8.887874	8.887874	7875	39.972590	39.972590	-0.301376	-0.034722
Brite	SM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	4779	24.257652	12533	63.616060	2389	893	4.532765	4.532765	8994	45.652505	45.652505	-0.370213	-0.145833
Brite	SM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19701	19701	100.000000	6165	31.292828	11468	58.210243	2068	1451	7.365108	7.365108	7820	39.693417	39.693417	-0.315604	-0.038194
Formula	All	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19698	19698	99.984772	4443	22.552155	8763	44.479976	6492	2602	13.207451	13.209463	8132	41.277093	41.283379	-0.282460	0.000000
Formula	All	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19687	19687	99.928938	4026	20.435511	9637	48.916299	6024	2577	13.080554	13.089856	8978	45.571291	45.603698	-0.321006	0.000000
Formula	All	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19694	19694	99.964469	1696	8.608700	8342	42.343028	9656	1286	6.527587	6.529908	7658	38.871123	38.884940	-0.318632	0.000000
Formula	PM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15532	15532	78.838638	2877	14.603320	9979	50.652251	2676	2035	10.329425	13.101983	8932	45.337800	57.507082	-0.447923	-0.916667
Formula	PM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15523	15523	78.792955	2696	13.684585	10396	52.768895	2431	1608	8.162022	10.358822	7768	39.429471	50.041873	-0.393472	-0.479167
Formula	PM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	12276	12144	12144	61.641541	1542	7.827014	8704	44.180498	1898	916	4.649510	7.542819	8030	40.759352	66.123188	-0.579209	-1.000000
Formula	SM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19700	19700	99.994924	6553	33.262271	6129	31.110096	7018	4762	24.171362	24.172589	5185	26.318461	26.319797	-0.014879	0.000000
Formula	SM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19689	19689	99.939089	10010	50.809604	3170	16.090554	6509	8485	43.068880	43.095129	1879	9.537587	9.543400	0.302806	0.062500
Formula	SM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19697	19697	99.979696	2378	12.070453	7141	36.246891	10178	1778	9.024923	9.026755	4180	21.217197	21.221506	-0.131872	0.000000
Pathway	All	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19695	19695	99.969545	4124	20.932948	14048	71.306025	1523	1337	6.786458	6.788525	11634	59.052840	59.070830	-0.516846	-1.000000
Pathway	All	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19694	19694	99.964469	5341	27.110299	13074	66.362114	1279	2424	12.303944	12.308317	10531	53.454139	53.473139	-0.411256	-0.986111
Pathway	All	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19690	19690	99.944165	3491	17.719913	14651	74.366783	1548	710	3.603878	3.605891	10063	51.078625	51.107161	-0.482236	-0.909722
Pathway	PM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15481	15481	78.579768	2416	12.263337	12023	61.027359	1042	1684	8.547789	10.877850	11493	58.337140	74.239390	-0.639209	-1.000000
Pathway	PM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	15642	15481	15481	78.579768	3548	18.009238	11055	56.113903	878	2585	13.121161	16.697888	10538	53.489671	68.070538	-0.513740	-1.000000
Pathway	PM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	12276	12064	12064	61.235470	1155	5.862647	10146	51.499924	763	581	2.949089	4.815981	9710	49.286838	80.487401	-0.758361	-1.000000
Pathway	SM	Combo6yr	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19695	19695	99.969545	5689	28.876707	12315	62.509517	1691	2659	13.496777	13.500889	9592	48.687884	48.702716	-0.346111	-0.250000
Pathway	SM	Period1_2015_2017	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19693	19693	99.959393	6497	32.978021	11782	59.804071	1414	3177	16.126085	16.132636	9197	46.682909	46.701874	-0.303026	-0.104167
Pathway	SM	Period2_2018_2020	1	finite99	1	entire signed-cutoff range	199	19701	19701	19701	19690	19690	99.944165	5500	27.917365	12462	63.255672	1728	1381	7.009796	7.013713	8532	43.307446	43.331640	-0.368663	-0.072917
